id_OSM,LATITUD,LONGITUD,coord
node/4119740740,40.4514497,-3.7274987,"(40.451449699999998, -3.7274986999999999)"
node/4119740741,40.4514788,-3.7272278,"(40.451478799999997, -3.7272278000000001)"
node/4119740742,40.4515181,-3.7268905,"(40.451518100000001, -3.7268905000000001)"
node/4119740743,40.4515503,-3.7265941,"(40.451550300000001, -3.7265940999999998)"
node/4119740744,40.4515804,-3.7262776,"(40.451580399999997, -3.7262776)"
node/4119740745,40.4516186,-3.7259457,"(40.451618600000003, -3.7259457)"
node/4119740746,40.4516513,-3.7256319,"(40.451651300000002, -3.7256319000000002)"
node/4119752324,40.4506928,-3.7244658,"(40.450692799999999, -3.7244657999999999)"
node/4119752351,40.4508418,-3.7251256,"(40.450841799999999, -3.7251256000000001)"
node/4119752360,40.450875,-3.7248454,"(40.450875000000003, -3.7248454)"
node/4119752366,40.4508969,-3.7245423,"(40.450896899999996, -3.7245423)"
node/4119754603,40.4519247,-3.7237779,"(40.451924699999999, -3.7237779)"
node/4119754604,40.4520206,-3.7236934,"(40.452020599999997, -3.7236934000000002)"
node/4119754605,40.4520267,-3.7243002,"(40.452026699999998, -3.7243002000000001)"
node/4119754606,40.4521022,-3.7244471,"(40.452102199999999, -3.7244470999999999)"
node/4119754607,40.4521186,-3.7236089,"(40.452118599999999, -3.7236088999999999)"
node/4119754608,40.4521681,-3.7245812,"(40.452168100000002, -3.7245811999999998)"
node/4119754609,40.4522053,-3.7235277,"(40.452205300000003, -3.7235277)"
node/4119754612,40.4522343,-3.724716,"(40.452234300000001, -3.7247159999999999)"
node/4119754614,40.4523639,-3.7246382,"(40.452363900000002, -3.7246381999999998)"
node/4119754615,40.4526027,-3.7244317,"(40.4526027, -3.7244316999999998)"
node/4119754616,40.4526303,-3.7234098,"(40.452630300000003, -3.7234098000000002)"
node/4119754622,40.4526986,-3.7243311,"(40.452698599999998, -3.7243311000000001)"
node/4119754623,40.4527017,-3.7235358,"(40.452701699999999, -3.7235358000000001)"
node/4119754626,40.4527721,-3.7236619,"(40.452772099999997, -3.7236619000000002)"
node/4119754627,40.4528384,-3.7238107,"(40.452838399999997, -3.7238107)"
node/4119754629,40.4529119,-3.7239462,"(40.452911899999997, -3.7239461999999999)"
node/4123920559,40.4499978,-3.7269768,"(40.449997799999998, -3.7269768000000001)"
node/4123920562,40.4500171,-3.7260043,"(40.450017099999997, -3.7260043)"
node/4123920573,40.4500741,-3.7262268,"(40.450074100000002, -3.7262268000000001)"
node/4123920580,40.4502542,-3.7260433,"(40.450254200000003, -3.7260433000000002)"
node/4123920585,40.4503623,-3.7258844,"(40.450362300000002, -3.7258844)"
node/4124379601,40.4498906,-3.7258153,"(40.449890600000003, -3.7258152999999998)"
node/4124379608,40.4499673,-3.7260937,"(40.449967299999997, -3.7260936999999998)"
