id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
58448,2375150819,7.230173195566181,40.4076816,-3.735222,"(40.407681599999997, -3.7352219999999998)",LATINA,PUERTA DEL ANGEL,MU-16,"437610,6055","4473271,549",-3.735288381576538,40.40772247314453,"(40.407722, -3.7352884)"
28484,2654505810,6.835110875686074,40.422592,-3.6142024,"(40.422592000000002, -3.6142023999999999)",SAN BLAS-CANILLEJAS,ARCOS,MU-16,"447895,3505","4474836,729",-3.614213466644287,40.42253112792969,"(40.422531, -3.6142135)"
32555,2654505810,5.850885685355492,40.422592,-3.6142024,"(40.422592000000002, -3.6142023999999999)",SAN BLAS-CANILLEJAS,ARCOS,MU-16,"447899,8699","4474848,264",-3.6141610145568848,40.42263412475586,"(40.422634, -3.614161)"
35001,2654505810,9.352672869530355,40.422592,-3.6142024,"(40.422592000000002, -3.6142023999999999)",SAN BLAS-CANILLEJAS,ARCOS,MU-16,"447896,4197","4474852,981",-3.6142020225524902,40.42267608642578,"(40.422676, -3.614202)"
26739,2764886798,7.617574413102988,40.4387809,-3.6545943,"(40.438780899999998, -3.6545942999999999)",CIUDAD LINEAL,SAN PASCUAL,MU-17,"444477,5641","4476670,467",-3.654660224914551,40.43882751464844,"(40.438828, -3.6546602)"
38144,2764886803,8.893418915738556,40.4387566,-3.6546589,"(40.438756599999998, -3.6546588999999998)",CIUDAD LINEAL,SAN PASCUAL,MU-17,"444473,5642","4476670,467",-3.654707431793213,40.43882751464844,"(40.438828, -3.6547074)"
55988,2800668858,5.010431000082507,40.4387332,-3.6542053,"(40.438733200000001, -3.6542053000000001)",CIUDAD LINEAL,SAN PASCUAL,MU-17,"444511,5639","4476657,466",-3.6542582511901855,40.43871307373047,"(40.438713, -3.6542583)"
39948,2827804114,7.847430131224364,40.4251556,-3.6892003,"(40.425155599999997, -3.6892003)",SALAMANCA,RECOLETOS,MU-15F,"441534,5869","4475182,519",-3.6892213821411133,40.42522430419922,"(40.425224, -3.6892214)"
51433,2963645625,9.355713559935996,40.4771584,-3.7100293,"(40.4771584, -3.7100293)",FUENCARRAL-EL PARDO,PILAR,MU-16,"439806,6233","4480959,554",-3.7101378440856934,40.477142333984375,"(40.477142, -3.7101378)"
26173,2963645625,7.128246851352901,40.4771584,-3.7100293,"(40.4771584, -3.7100293)",FUENCARRAL-EL PARDO,PILAR,MU-16,"439815,6233","4480968,554",-3.7100324630737305,40.47722244262695,"(40.477222, -3.7100325)"
23451,2972892265,5.231520164244673,40.4401985,-3.7043077,"(40.440198500000001, -3.7043077000000002)",CHAMBERÍ,VALLEHERMOSO,MU-16,"440269,91","4476859,994",-3.704286813735962,40.440242767333984,"(40.440243, -3.7042868)"
5407,3105315577,7.023102671298022,40.4253301,-3.7039906,"(40.425330099999996, -3.7039906)",CENTRO,UNIVERSIDAD,BA-1,"440280,5852","4475211,441",-3.7040059566497803,40.425392150878906,"(40.425392, -3.704006)"
55001,3106170530,7.6846931007523525,40.3543311,-3.712097,"(40.354331100000003, -3.712097)",VILLAVERDE,SAN ANDRÉS,MU-17,"439524,4814","4467324,486",-3.712169885635376,40.35429000854492,"(40.35429, -3.7121699)"
24552,3135976514,8.920253562559527,40.4494857,-3.6888348,"(40.449485699999997, -3.6888348)",CHAMARTÍN,EL VISO,MU-17,"441588,5953","4477884,523",-3.688832998275757,40.44956588745117,"(40.449566, -3.688833)"
57717,3135976514,6.9495197588211415,40.4494857,-3.6888348,"(40.449485699999997, -3.6888348)",CHAMARTÍN,EL VISO,MU-17,"441582,5953","4477879,523",-3.688903331756592,40.449520111083984,"(40.44952, -3.6889033)"
