CODIGO,ZV-VP,DISTRITO,DIRECCION,COMP-DIR,X_ETRS89,Y_ETRS89,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
FUE_03-10_0000000036,ZV,LATINA,PARQUE DE ALUCHE - ARIAS NAVARRO,,435704.5576,4472123.541,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7576344,40.3972359,1340025575,40.3973861,-3.7577653,"(40.397386099999999, -3.7577653)",,20.050983111753144,"('40.3972359', '-3.7576344')"
FUE_06-11_0000000039,ZV,CARABANCHEL,PARQUE SAN ISIDRO,,437885.6001,4472208.4,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7319441,40.3981659,3516311431,40.3982623,-3.7320796,"(40.398262299999999, -3.7320796000000001)",,15.70669867196495,"('40.3981659', '-3.7319441')"
FUE_02-03_0000000024,ZV,RETIRO,PARQUE MARTIN LUTHER KING,,443176.2633,4472237.002,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6696067,40.3988013,3778875221,40.3987462,-3.6696685,"(40.398746199999998, -3.6696685000000002)",,8.059892999817384,"('40.3988013', '-3.6696067')"
FUE_06-11_0000000119,ZV,CARABANCHEL,PARQUE SAN ISIDRO,,438408.7521,4472295.082,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7257882,40.3989856,3657800032,40.3989127,-3.7256179,"(40.398912699999997, -3.7256179)",,16.547844533496075,"('40.3989856', '-3.7257882')"
FUE_05-13_0000000111,ZV,PUENTE VALLECAS,C/EL BOSCO CON RAMÓN PÉREZ DE AYALA  JUNTO A COLEGIO TAJAMAR,,444933.2972,4472260.057,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6489052,40.3991271,1258603112,40.3991895,-3.6490433,"(40.399189499999999, -3.6490433000000002)",,13.60167380478646,"('40.3991271', '-3.6489052')"
FB_900022,ZV,CARABANCHEL,MADRID RIO,Z.12. - SALON DE PINOS - PUENTE DE SAN ISIDRO,439102.7,4472337.3,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7176154,40.399417,2960394790,40.3994115,-3.7175535,"(40.399411499999999, -3.7175535000000002)",,5.278731573107229,"('40.399417', '-3.7176154')"
FUE_03-10_0000000016,ZV,LATINA,CUÑA VERDE LA LATINA,CALLE ALHAMBRA Nº 29,436864.5863,4472384.941,ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.743992,40.3996794,2960394796,40.3996352,-3.7440121,"(40.399635199999999, -3.7440121)",,5.202659881668042,"('40.3996794', '-3.743992')"
FUE_03-10_0000000099,ZV,LATINA,CUÑA VERDE LA LATINA,C/SESEÑA 99. DENTRO DEL PARQUE. EN EL CARRIL BICI,435248.565,4472411.557,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7630364,40.3997952,4116738894,40.3998769,-3.7628733,"(40.399876900000002, -3.7628732999999999)",,16.535838946803317,"('40.3997952', '-3.7630364')"
FUE_03-10_0000000029,ZV,LATINA,CUÑA VERDE LA LATINA,CALLE CONCEJAL FRANCISCO JOSÉ JIMÉNEZ MARTÍN Nº132,436579.2398,4472429.004,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7473587,40.4000547,2960394820,40.4000875,-3.7471788,"(40.400087499999998, -3.7471787999999999)",,15.66869786272294,"('40.4000547', '-3.7473587')"
FUE_02-02_0000000009,ZV,ARGANZUELA,PZA. LUCA DE TENA,PZA  LUCA DE TENA N º2,441149.1029,4472614.311,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6935279,40.4020595,3519204115,40.4020093,-3.6935836,"(40.402009300000003, -3.6935836000000002)",,7.309851059692174,"('40.4020595', '-3.6935279')"
FUE_02-03_0000000011,ZV,RETIRO,PARQUE MARTIN LUTHER KING,C/ARREGUI Y ARUEJ  24,443306.1855,4472675.612,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6681148,40.4027614,3643291471,40.402811,-3.6682853,"(40.402811, -3.6682853)",,15.45916216288646,"('40.4027614', '-3.6681148')"
FUE_02-02_0000000012,ZV,ARGANZUELA,ANTIGUA ESTACION SUR,C/PALOS DE LA FRONTERA Nº 29 ,441049.3744,4472708.743,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6947118,40.4029032,3519204120,40.4027643,-3.6947126,"(40.402764300000001, -3.6947125999999999)",,15.449475455222867,"('40.4029032', '-3.6947118')"
FUE_02-03_0000000021,ZV,RETIRO,STA. SABINA - DR. ESQUERDO,C/SANTA SABINA Nº 6,443110.9647,4472923.757,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6704375,40.4049836,3100182024,40.4050503,-3.6703853,"(40.405050299999999, -3.6703853)",,8.636272733326454,"('40.4049836', '-3.6704375')"
