DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
CENTRO,SOL,"CALLE MAYOR,4",80_LTS,440189.2954,4474232.657,-3.7049899101257324,40.416568756103516,node/4317894294,40.4165367,-3.7045088,"(40.416536700000002, -3.7045088000000002)",,40.897194165300846,"(40.416536700000002, -3.7045088000000002)"
CENTRO,SOL,"CALLE MAYOR,1",120_LTS,440230.0716,4474238.992,-3.704509973526001,40.416629791259766,node/4317894294,40.4165367,-3.7045088,"(40.416536700000002, -3.7045088000000002)",,10.354669109653802,"(40.416536700000002, -3.7045088000000002)"
CENTRO,SOL,"PLAZA DE LA PUERTA DEL SOL,8",80_LTS,440228.4456,4474247.885,-3.7045300006866455,40.416709899902344,node/4317894294,40.4165367,-3.7045088,"(40.416536700000002, -3.7045088000000002)",,19.34785197304041,"(40.416536700000002, -3.7045088000000002)"
CENTRO,SOL,"CALLE DEL ARENAL,2",80_LTS,440202.3047,4474268.075,-3.7048401832580566,40.41688919067383,node/4317894294,40.4165367,-3.7045088,"(40.416536700000002, -3.7045088000000002)",,48.214259649450014,"(40.416536700000002, -3.7045088000000002)"
CENTRO,SOL,"PLAZA DE LA PUERTA DEL SOL,10",80_LTS,440249.0017,4474272.143,-3.7042899131774902,40.41693115234375,node/4317894294,40.4165367,-3.7045088,"(40.416536700000002, -3.7045088000000002)",,47.62830169671346,"(40.416536700000002, -3.7045088000000002)"
CHAMBERÍ,TRAFALGAR,"CALLE DE SANTA FELICIANA,18",50_LTS,440752.086,4476090.88,-3.6985299587249756,40.433349609375,node/3428476974,40.4335222,-3.6983096,"(40.433522199999999, -3.6983096)",,26.768415385423303,"(40.433522199999999, -3.6983096)"
CHAMBERÍ,TRAFALGAR,"CALLE DE SANTA ENGRACIA,53",50_LTS,440778.4061,4476094.002,-3.6982200145721436,40.433380126953125,node/3428476974,40.4335222,-3.6983096,"(40.433522199999999, -3.6983096)",,17.52809560053393,"(40.433522199999999, -3.6983096)"
CHAMBERÍ,ALMAGRO,"CALLE DE SANTA ENGRACIA,46",50_LTS,440801.3246,4476096.041,-3.6979501247406006,40.43339920043945,node/3428476974,40.4335222,-3.6983096,"(40.433522199999999, -3.6983096)",,33.36708710147181,"(40.433522199999999, -3.6983096)"
CHAMBERÍ,TRAFALGAR,"CALLE DE SANTA FELICIANA,17",50_LTS,440736.8801,4476098.771,-3.6987099647521973,40.43341827392578,node/3428476974,40.4335222,-3.6983096,"(40.433522199999999, -3.6983096)",,35.8120885547696,"(40.433522199999999, -3.6983096)"
CHAMBERÍ,ALMAGRO,"CALLE DE SANTA ENGRACIA,46",50_LTS_EX,440803.1701,4476114.898,-3.697930097579956,40.433570861816406,node/3428476974,40.4335222,-3.6983096,"(40.433522199999999, -3.6983096)",,32.58169574016848,"(40.433522199999999, -3.6983096)"
CHAMBERÍ,ALMAGRO,"CALLE DE SANTA ENGRACIA,48",50_LTS,440812.6141,4476129.254,-3.697819948196411,40.43370056152344,node/3428476974,40.4335222,-3.6983096,"(40.433522199999999, -3.6983096)",,45.956757522857735,"(40.433522199999999, -3.6983096)"
