id_OSM,LATITUD,LONGITUD,coord
node/3906338661,40.3533276,-3.7049254,"(40.3533276, -3.7049254)"
node/3906338662,40.3534274,-3.7048637,"(40.353427400000001, -3.7048637000000002)"
node/3906338666,40.353533,-3.7050127,"(40.353532999999999, -3.7050127000000002)"
node/3906338667,40.3535377,-3.7047162,"(40.353537699999997, -3.7047162)"
node/3906338668,40.3536124,-3.7048196,"(40.353612400000003, -3.7048196)"
node/3906338669,40.3536338,-3.7044921,"(40.353633799999997, -3.7044921)"
node/3906338670,40.3536553,-3.7048048,"(40.3536553, -3.7048047999999998)"
node/3906338671,40.3536829,-3.7046545,"(40.353682900000003, -3.7046545000000002)"
node/3906338672,40.3537259,-3.7047552,"(40.353725900000001, -3.7047552000000001)"
node/3906338673,40.3537617,-3.7047122,"(40.3537617, -3.7047121999999999)"
node/3906338674,40.3537627,-3.7048665,"(40.353762699999997, -3.7048665000000001)"
node/3906338677,40.3538261,-3.7044049,"(40.353826099999999, -3.7044049000000001)"
node/3906338682,40.35391,-3.7026844,"(40.353909999999999, -3.7026843999999999)"
node/3906338686,40.3539478,-3.704574,"(40.3539478, -3.704574)"
node/3906338687,40.3539509,-3.7046867,"(40.353950900000001, -3.7046866999999999)"
node/3906338689,40.3539775,-3.7048263,"(40.353977499999999, -3.7048263000000001)"
node/3906338694,40.3540347,-3.7046934,"(40.3540347, -3.7046934)"
node/3906338698,40.3540705,-3.70468,"(40.354070499999999, -3.7046800000000002)"
node/3906338699,40.3540716,-3.7026173,"(40.354071599999997, -3.7026173)"
node/3906338700,40.3540726,-3.7044438,"(40.354072600000002, -3.7044438)"
node/3906338701,40.3540757,-3.7042881,"(40.354075700000003, -3.7042880999999999)"
node/3906338704,40.3540941,-3.7047659,"(40.354094099999998, -3.7047658999999999)"
node/3906338713,40.3541339,-3.7046304,"(40.354133900000001, -3.7046304000000001)"
node/3906338718,40.3541677,-3.703648,"(40.354167699999998, -3.7036479999999998)"
node/3906338727,40.3542117,-3.7045471,"(40.3542117, -3.7045471000000001)"
node/3906338729,40.354227,-3.7026817,"(40.354227000000002, -3.7026816999999999)"
node/3906338732,40.3542342,-3.7046424,"(40.3542342, -3.7046424)"
node/3906338734,40.3542383,-3.7039312,"(40.354238299999999, -3.7039312)"
node/3906338739,40.3542608,-3.7045512,"(40.354260799999999, -3.7045512)"
node/3906338740,40.3542628,-3.7028226,"(40.354262800000001, -3.7028226000000002)"
node/3906338748,40.354318,-3.704519,"(40.354317999999999, -3.7045189999999999)"
node/3906338749,40.3543242,-3.7035621,"(40.354324200000001, -3.7035621000000001)"
node/3906338857,40.3543794,-3.7028629,"(40.354379399999999, -3.7028629)"
node/3906338860,40.3543886,-3.7044881,"(40.3543886, -3.7044880999999998)"
node/3906338863,40.3543998,-3.7038654,"(40.354399800000003, -3.7038654000000002)"
node/3906338871,40.3544346,-3.7030548,"(40.354434599999998, -3.7030547999999999)"
node/3906338873,40.3544607,-3.7027488,"(40.354460699999997, -3.7027488000000002)"
node/3906338882,40.3545481,-3.7044143,"(40.354548100000002, -3.7044142999999998)"
node/3906338889,40.3546535,-3.7041982,"(40.354653499999998, -3.7041982)"
node/3906338890,40.3547476,-3.7039822,"(40.354747600000003, -3.7039822)"
node/3906338891,40.3548549,-3.7041781,"(40.354854899999999, -3.7041781)"
node/3907363942,40.4239106,-3.6746606,"(40.423910599999999, -3.6746606000000002)"
node/3907364057,40.423961,-3.6753392,"(40.423960999999998, -3.6753391999999998)"
node/3907364065,40.4239851,-3.6754499,"(40.423985100000003, -3.6754498999999998)"
node/3907364067,40.4239919,-3.674676,"(40.423991899999997, -3.6746759999999998)"
node/3912611732,40.3569609,-3.7006496,"(40.356960899999997, -3.7006496000000002)"
node/3912611746,40.3571134,-3.700578,"(40.357113400000003, -3.7005780000000001)"
node/3913157311,40.3984419,-3.7145368,"(40.398441900000002, -3.7145367999999999)"
node/3913157322,40.3986101,-3.7148698,"(40.398610099999999, -3.7148698000000002)"
node/3913159870,40.398727,-3.7145131,"(40.398727000000001, -3.7145131)"
node/3913172115,40.3985797,-3.7150424,"(40.398579699999999, -3.7150424000000002)"
node/3913172119,40.3986573,-3.7150371,"(40.398657300000004, -3.7150371)"
node/3914657203,40.3549813,-3.7040595,"(40.354981299999999, -3.7040595000000001)"
node/3914657204,40.3550766,-3.7038351,"(40.355076599999997, -3.7038351)"
node/3914657205,40.3551303,-3.7040437,"(40.355130299999999, -3.7040437000000002)"
node/3914657208,40.3552312,-3.7041602,"(40.355231199999999, -3.7041602)"
node/3914657210,40.3552586,-3.7039329,"(40.355258599999999, -3.7039328999999999)"
node/3914657212,40.3552695,-3.7042983,"(40.355269499999999, -3.7042983)"
node/3914657218,40.3553276,-3.7041199,"(40.355327600000003, -3.7041198999999998)"
node/3914657221,40.3553463,-3.7037186,"(40.355346300000001, -3.7037186000000002)"
node/3914657224,40.3553627,-3.7042479,"(40.355362700000001, -3.7042478999999999)"
node/3914657227,40.3553755,-3.7013857,"(40.355375500000001, -3.7013856999999999)"
node/3914657230,40.3554044,-3.7039214,"(40.355404399999998, -3.7039214)"
node/3914657237,40.3554811,-3.7038337,"(40.355481099999999, -3.7038337000000001)"
node/3914657242,40.3555196,-3.7013044,"(40.355519600000001, -3.7013044000000002)"
node/3914657243,40.3555244,-3.7019678,"(40.3555244, -3.7019677999999998)"
node/3914658459,40.355628,-3.7035834,"(40.355628000000003, -3.7035833999999999)"
node/3914658463,40.3556828,-3.703792,"(40.355682799999997, -3.703792)"
node/3914658470,40.3557595,-3.7037042,"(40.355759499999998, -3.7037041999999998)"
node/3914658472,40.3557817,-3.7029252,"(40.355781700000001, -3.7029252000000001)"
node/3914658479,40.3558592,-3.7032124,"(40.355859199999998, -3.7032124)"
node/3914658486,40.3559319,-3.7028561,"(40.355931900000002, -3.7028561)"
node/3914658489,40.3559646,-3.703674,"(40.3559646, -3.7036739999999999)"
node/3914658492,40.3560094,-3.7031433,"(40.356009399999998, -3.7031432999999998)"
node/3914658495,40.3561382,-3.7036455,"(40.356138199999997, -3.7036454999999999)"
node/3914658496,40.3562576,-3.7034136,"(40.356257599999999, -3.7034136000000002)"
node/3914658497,40.3562638,-3.7036536,"(40.356263800000001, -3.7036536)"
node/3914658498,40.3563118,-3.7035845,"(40.3563118, -3.7035844999999998)"
node/3914658500,40.3563196,-3.7037004,"(40.356319599999999, -3.7037003999999998)"
node/3914658501,40.3563558,-3.7032569,"(40.356355800000003, -3.7032569)"
node/3914658503,40.3563788,-3.703418,"(40.356378800000002, -3.7034180000000001)"
node/3914658504,40.3564007,-3.7035949,"(40.356400700000002, -3.7035949000000001)"
node/3914658506,40.3564665,-3.7036021,"(40.356466500000003, -3.7036020999999999)"
node/3914658508,40.3565081,-3.7035647,"(40.356508099999999, -3.7035646999999998)"
node/3914658509,40.3565191,-3.7034007,"(40.3565191, -3.7034007)"
node/3914658510,40.3565509,-3.7031735,"(40.356550900000002, -3.7031735000000001)"
node/3914658512,40.3565772,-3.7035647,"(40.356577199999997, -3.7035646999999998)"
node/3914658513,40.3566144,-3.7036366,"(40.356614399999998, -3.7036365999999998)"
node/3914658516,40.3566956,-3.7033892,"(40.356695600000002, -3.7033892000000002)"
node/3914658518,40.356769,-3.7032813,"(40.356769, -3.7032813)"
node/3914658520,40.3568205,-3.7034669,"(40.356820499999998, -3.7034669)"
node/3914658521,40.3568402,-3.7033691,"(40.356840200000001, -3.7033691000000002)"
node/3914658522,40.3568731,-3.7033489,"(40.356873100000001, -3.7033488999999999)"
node/3914658524,40.3569071,-3.7032209,"(40.356907100000001, -3.7032208999999998)"
node/3914658526,40.3569279,-3.702998,"(40.356927900000002, -3.702998)"
node/3914658527,40.3569411,-3.7032842,"(40.3569411, -3.7032842000000001)"
node/3914658528,40.3570288,-3.7032928,"(40.357028800000002, -3.7032927999999998)"
node/3914658529,40.357032,-3.7033676,"(40.357031999999997, -3.7033676)"
node/3914658531,40.3571022,-3.7032583,"(40.3571022, -3.7032582999999999)"
node/3914658534,40.3572677,-3.7029879,"(40.357267700000001, -3.7029879000000001)"
node/3914658536,40.3573083,-3.7028282,"(40.3573083, -3.7028281999999999)"
node/3914658538,40.3573576,-3.7029476,"(40.3573576, -3.7029475999999999)"
node/3914658540,40.3574453,-3.703113,"(40.357445300000002, -3.7031130000000001)"
node/3916514726,40.3537641,-3.7020906,"(40.353764099999999, -3.7020906)"
node/3916514758,40.3539226,-3.7020235,"(40.353922599999997, -3.7020235000000001)"
node/3916514780,40.3541505,-3.7027094,"(40.354150500000003, -3.7027093999999998)"
node/3916514785,40.3541842,-3.7028409,"(40.354184199999999, -3.7028409)"
node/3916514835,40.3545376,-3.7027059,"(40.3545376, -3.7027059000000002)"
node/3916514847,40.3546192,-3.7026622,"(40.354619200000002, -3.7026621999999998)"
node/3916514857,40.354678,-3.7027258,"(40.354678, -3.7027258000000001)"
node/3916514866,40.3547287,-3.7029232,"(40.354728700000003, -3.7029231999999999)"
node/3916514874,40.3547777,-3.702412,"(40.3547777, -3.7024119999999998)"
node/3916514880,40.3548145,-3.7025537,"(40.354814500000003, -3.7025537000000002)"
node/3916514886,40.3548547,-3.7023804,"(40.354854699999997, -3.7023804)"
node/3916514892,40.354888,-3.70251,"(40.354888000000003, -3.7025100000000002)"
node/3916514897,40.3549181,-3.7026186,"(40.354918099999999, -3.7026186000000001)"
node/3916514905,40.3549659,-3.702815,"(40.354965900000003, -3.7028150000000002)"
node/3916514924,40.355089,-3.7024422,"(40.355089, -3.7024422000000001)"
node/3916514933,40.3551503,-3.7025142,"(40.355150299999998, -3.7025142)"
node/3916514941,40.3551797,-3.7024015,"(40.355179700000001, -3.7024015000000001)"
node/3916514944,40.3552045,-3.7027078,"(40.355204499999999, -3.7027078000000002)"
node/3916514952,40.3552693,-3.7023698,"(40.355269300000003, -3.7023698)"
node/3916515070,40.3553882,-3.7023994,"(40.3553882, -3.7023994)"
node/3916515075,40.355414,-3.7021332,"(40.355414000000003, -3.7021332)"
node/3916515079,40.3554453,-3.7025987,"(40.3554453, -3.7025986999999998)"
node/3916515083,40.3554577,-3.7022688,"(40.355457700000002, -3.7022688000000001)"
node/3916515088,40.3554967,-3.702094,"(40.355496700000003, -3.7020940000000002)"
