id_OSM,LATITUD,LONGITUD,coord
node/4332138441,40.369355,-3.7642303,"(40.369354999999999, -3.7642302999999999)"
node/4333068041,40.4302336,-3.7259085,"(40.430233600000001, -3.7259085000000001)"
node/4333068048,40.4350204,-3.7270677,"(40.435020399999999, -3.7270677000000001)"
node/4333068049,40.4355529,-3.7246408,"(40.435552899999998, -3.7246408)"
node/4335288007,40.4473749,-3.6709318,"(40.4473749, -3.6709318)"
node/4340080832,40.450413,-3.771261,"(40.450412999999998, -3.771261)"
node/4340080833,40.4504186,-3.7709395,"(40.450418599999999, -3.7709394999999999)"
node/4340080845,40.4543398,-3.7651854,"(40.4543398, -3.7651854)"
node/4340980994,40.373576,-3.6184562,"(40.373576, -3.6184561999999998)"
node/4344517489,40.4688776,-3.7219693,"(40.468877599999999, -3.7219693)"
node/4347754191,40.4647616,-3.7129248,"(40.464761600000003, -3.7129248000000001)"
node/4347754197,40.4679761,-3.7046798,"(40.467976100000001, -3.7046798000000001)"
node/4354434308,40.4107233,-3.6872214,"(40.410723300000001, -3.6872213999999999)"
node/4376883225,40.4307894,-3.6108045,"(40.430789400000002, -3.6108045)"
node/4376883228,40.4316343,-3.6246518,"(40.431634299999999, -3.6246518000000001)"
node/4395887289,40.4652519,-3.6505763,"(40.465251899999998, -3.6505763)"
node/4395887389,40.463063,-3.6472333,"(40.463062999999998, -3.6472332999999999)"
node/4396225695,40.4705536,-3.6404463,"(40.470553600000002, -3.6404462999999998)"
node/4403299621,40.4397077,-3.704509,"(40.4397077, -3.7045089999999998)"
node/4403559004,40.4329081,-3.7496148,"(40.432908099999999, -3.7496147999999998)"
node/4404969182,40.40942,-3.7778345,"(40.409419999999997, -3.7778345)"
node/4413513647,40.4253005,-3.6211454,"(40.425300499999999, -3.6211454000000001)"
node/4427657680,40.4238786,-3.6392471,"(40.423878600000002, -3.6392471)"
node/4434093289,40.4150021,-3.720531,"(40.415002100000002, -3.7205309999999998)"
node/4439535956,40.4238845,-3.6986234,"(40.4238845, -3.6986233999999998)"
node/4470353161,40.4859906,-3.7169703,"(40.485990600000001, -3.7169702999999998)"
node/4523230500,40.4703197,-3.6485307,"(40.470319699999997, -3.6485306999999998)"
node/4663033397,40.4159224,-3.7114412,"(40.415922399999999, -3.7114411999999999)"
node/4667303285,40.4454845,-3.6313739,"(40.445484499999999, -3.6313738999999998)"
node/4810100127,40.4529701,-3.7705908,"(40.452970100000002, -3.7705907999999999)"
node/4810126221,40.4530041,-3.7706177,"(40.453004100000001, -3.7706176999999999)"
