id,CODIGO,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCIÓN ,COORD. X,COORD. Y,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,coord
1342,FUE_06-17_0000000120,VP,VILLAVERDE,AV .DE LOS ROSALES  131,,"442425,6818","4467013,953",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6779792308807373,40.3516960144043,"(40.351696, -3.6779792)"
1362,FUE_05-18_0000000050,ZV,VILLA DE VALLECAS,ENTREPEÑAS    71,,"448221,3061","4468529,515",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.609858274459839,40.36573028564453,"(40.36573, -3.6098583)"
838,FUE_06-12_0000000065,VP,USERA,BEASAIN 39 - 45  ,,"439239,9878","4468753,572",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.71565580368042,40.36714172363281,"(40.367142, -3.7156558)"
1364,FUE_05-18_0000000052,ZV,VILLA DE VALLECAS,PROVISIONAL ATALAYUELA  TRES,,"445828,8248","4468761,782",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6380555629730225,40.367671966552734,"(40.367672, -3.6380556)"
652,FUE_03-10_0000000038,ZV,LATINA,Z.A. PAU CARABANCHEL - UNIDAD III,,435078.29,4468924.45,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7646875381469727,40.368370056152344,"(40.36837, -3.7646875)"
835,FUE_06-12_0000000060,ZV,USERA,PZA. ASOCIACION MESETA DE ORCASITAS,,"439884,1619","4469010,373",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7080934047698975,40.369503021240234,"(40.369503, -3.7080934)"
874,FUE_05-13_0000000082,ZV,PUENTE VALLECAS,PARQUE GARRRIGUES WALKER,,"443876,2747","4469002,731",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6610734462738037,40.369712829589844,"(40.369713, -3.6610734)"
1363,FUE_05-18_0000000051,ZV,VILLA DE VALLECAS,AV.MAYORAZGO 20,,"446301,7611","4468999,448",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.632505416870117,40.369842529296875,"(40.369843, -3.6325054)"
1359,FUE_05-18_0000000047,VP,VILLA DE VALLECAS,AV. DE LA GAVIA  40,,"447952,8408","4469208,404",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6130754947662354,40.371829986572266,"(40.37183, -3.6130755)"
840,FUE_06-12_0000000068,ZV,USERA,PLAZA ZAPOTA,,"438991,5763","4469282,162",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.718632221221924,40.37188720703125,"(40.371887, -3.7186322)"
700,FUE_03-10_0000000107,ZV,LATINA,PZA. VIRGEN DE LOS LLANOS Nº 1,,"433819,7559","4469948,818",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.779616355895996,40.377498626708984,"(40.377499, -3.7796164)"
1361,FUE_05-18_0000000049,VP,VILLA DE VALLECAS,PICO  MANPODRE 21,,"447332,8791","4469847,63",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6204307079315186,40.37754821777344,"(40.377548, -3.6204307)"
926,FUE_05-13_0000000150,VP,PUENTE VALLECAS,PLAZA DEL CINE  S/N,,"444463,8469","4470079,468",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6542468070983887,40.379451751708984,"(40.379452, -3.6542468)"
927,FUE_05-13_0000000151,ZV,PUENTE VALLECAS,PLAZA DE SAN DIEGO,C/ JAVIER DE MIGUEL 126,"444507,0049","4470657,362",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6537888050079346,40.38465881347656,"(40.384659, -3.6537888)"
839,FUE_06-12_0000000066,VP,USERA,SAN NICOMEDES  12,,"439406,215","4470960,593",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7139079570770264,40.38703536987305,"(40.387035, -3.713908)"
