DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
TETUÁN,ALMENARA,BA-58,441529.5991,4480335.442,-3.6897547245025635,40.471641540527344,node/3645183690,40.4715232,-3.6896064,"(40.4715232, -3.6896064000000002)",,18.18681155765107,"(40.4715232, -3.6896064000000002)"
TETUÁN,VALDEACEDERAS,MU-16,440282.6072,4480346.456,-3.704464912414551,40.47165298461914,node/5006925682,40.4716194,-3.7044485,"(40.471619400000002, -3.7044484999999998)",,3.9852713137617584,"(40.471619400000002, -3.7044484999999998)"
TETUÁN,VALDEACEDERAS,MU-16,440387.1965,4480347.565,-3.7032313346862793,40.4716682434082,node/5008084757,40.4718306,-3.7026943,"(40.471830599999997, -3.7026943000000001)",,48.896758349340395,"(40.471830599999997, -3.7026943000000001)"
TETUÁN,ALMENARA,MU-16,441038.6023,4480344.448,-3.695547103881836,40.47168731689453,node/3590492309,40.4717889,-3.6955767,"(40.4717889, -3.6955767000000002)",,11.572893819579408,"(40.4717889, -3.6955767000000002)"
FUENCARRAL-EL PARDO,PILAR,MU-16,439536.622,4480358.554,-3.7132656574249268,40.47170639038086,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,9.856191457799365,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,MU-16,439583.4319,4480358.414,-3.7127134799957275,40.471710205078125,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,37.462665416171276,"(40.471734300000001, -3.7131550999999998)"
TETUÁN,ALMENARA,MU-16,441049.6023,4480349.448,-3.695417881011963,40.47173309326172,node/3590492309,40.4717889,-3.6955767,"(40.4717889, -3.6955767000000002)",,14.802420029814954,"(40.4717889, -3.6955767000000002)"
FUENCARRAL-EL PARDO,PILAR,MU-16,439532.622,4480362.555,-3.713313102722168,40.471744537353516,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,13.417444469932635,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,,439551.6971,4480364.406,-3.713088274002075,40.47175979614258,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,6.325617039994121,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,,439551.6971,4480364.406,-3.713088274002075,40.47175979614258,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,6.325617039994121,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,,439551.6971,4480364.406,-3.713088274002075,40.47175979614258,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,6.325617039994121,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,,439551.6971,4480364.406,-3.713088274002075,40.47175979614258,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,6.325617039994121,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,,439551.6971,4480364.406,-3.713088274002075,40.47175979614258,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,6.325617039994121,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,,439551.6971,4480364.406,-3.713088274002075,40.47175979614258,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,6.325617039994121,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,,439551.6971,4480364.406,-3.713088274002075,40.47175979614258,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,6.325617039994121,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,,439551.6971,4480364.406,-3.713088274002075,40.47175979614258,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,6.325617039994121,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,MU-16,439551.6219,4480364.554,-3.7130892276763916,40.471763610839844,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,6.4570813852497935,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,MU-16,439532.6221,4480367.555,-3.7133138179779053,40.47178649902344,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,14.630840457447892,"(40.471734300000001, -3.7131550999999998)"
TETUÁN,ALMENARA,MU-17,440778.3241,4480358.531,-3.6986188888549805,40.471797943115234,node/3590492187,40.4715688,-3.6987396,"(40.4715688, -3.6987396000000001)",,27.457116818475654,"(40.4715688, -3.6987396000000001)"
FUENCARRAL-EL PARDO,PILAR,MU-16,439553.6219,4480368.554,-3.7130661010742188,40.471797943115234,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,10.335217060878426,"(40.471734300000001, -3.7131550999999998)"
TETUÁN,ALMENARA,MU-16,441054.6023,4480356.448,-3.695359706878662,40.471797943115234,node/3590492309,40.4717889,-3.6955767,"(40.4717889, -3.6955767000000002)",,18.387895531533815,"(40.4717889, -3.6955767000000002)"
FUENCARRAL-EL PARDO,PEÑAGRANDE,MU-16,438806.0475,4480374.99,-3.7218849658966064,40.4718017578125,node/4416327921,40.4714371,-3.7217099,"(40.471437100000003, -3.7217099)",,43.17979641079518,"(40.471437100000003, -3.7217099)"
TETUÁN,ALMENARA,MU-16,441037.6024,4480358.448,-3.6955602169036865,40.4718132019043,node/3590492309,40.4717889,-3.6955767,"(40.4717889, -3.6955767000000002)",,3.041609776512424,"(40.4717889, -3.6955767000000002)"
FUENCARRAL-EL PARDO,PILAR,MU-16,439535.6221,4480370.555,-3.7132785320281982,40.47181701660156,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,13.918336932635079,"(40.471734300000001, -3.7131550999999998)"
TETUÁN,VALDEACEDERAS,MU-16,440426.6063,4480364.455,-3.702768087387085,40.471824645996094,node/5008084757,40.4718306,-3.7026943,"(40.471830599999997, -3.7026943000000001)",,6.278368136728992,"(40.471830599999997, -3.7026943000000001)"
FUENCARRAL-EL PARDO,PILAR,MU-16,439549.622,4480371.554,-3.71311354637146,40.471824645996094,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,10.64618821893778,"(40.471734300000001, -3.7131550999999998)"
FUENCARRAL-EL PARDO,PILAR,MU-16,439541.622,4480371.554,-3.713207960128784,40.471824645996094,node/4608166167,40.4717343,-3.7131551,"(40.471734300000001, -3.7131550999999998)",,10.999263804194088,"(40.471734300000001, -3.7131550999999998)"
TETUÁN,VALDEACEDERAS,MU-16,440435.6063,4480366.455,-3.7026619911193848,40.47184371948242,node/5008084757,40.4718306,-3.7026943,"(40.471830599999997, -3.7026943000000001)",,3.098819315846844,"(40.471830599999997, -3.7026943000000001)"
FUENCARRAL-EL PARDO,PEÑAGRANDE,MU-16,438778.503,4480381.241,-3.72221040725708,40.47185516357422,node/4416327923,40.4714887,-3.721886,"(40.471488700000002, -3.721886)",,49.14118455578602,"(40.471488700000002, -3.721886)"
